sponsor_name,ein,city,state,ntee_code,classification,propublica_url,search_term_found,collected_at,website,email,phone,contact_person,mission_statement,annual_revenue,assets,outreach_status,email_sent,response_received,sponsorship_amount,notes,follow_up_date,priority_level
Sundell Family Foundation,475028854,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/475028854,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Brooklyn Community Foundation,113422729,Brooklyn,NY,T21,,https://projects.propublica.org/nonprofits/organizations/113422729,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Rome Community Foundation,161574338,Rome,NY,T31,,https://projects.propublica.org/nonprofits/organizations/161574338,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Pcsb Community Foundation,821223618,Yorktown Heights,NY,T22,,https://projects.propublica.org/nonprofits/organizations/821223618,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Cortland Community Foundation,161561037,Cortland,NY,T31,,https://projects.propublica.org/nonprofits/organizations/161561037,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Athens Community Foundation,371419086,Athens,NY,T20,,https://projects.propublica.org/nonprofits/organizations/371419086,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Pawling Community Foundation,141748758,Pawling,NY,,,https://projects.propublica.org/nonprofits/organizations/141748758,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Community Solutions Foundation,463772911,Buffalo,NY,P19,,https://projects.propublica.org/nonprofits/organizations/463772911,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Brookmeade Community Foundation,454813106,Rhinebeck,NY,T99,,https://projects.propublica.org/nonprofits/organizations/454813106,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Community Concern Foundation,161447801,Derby,NY,,,https://projects.propublica.org/nonprofits/organizations/161447801,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Cooperstown Community Foundation,166090548,Cooperstown,NY,,,https://projects.propublica.org/nonprofits/organizations/166090548,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
World Community Foundation,133612343,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/133612343,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Bethpage Community Foundation,113578002,Bethpage,NY,T31,,https://projects.propublica.org/nonprofits/organizations/113578002,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Boma Community Foundation,834716640,New York,NY,S20,,https://projects.propublica.org/nonprofits/organizations/834716640,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Community Exchange Foundation,271641810,Glens Falls,NY,T99,,https://projects.propublica.org/nonprofits/organizations/271641810,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Community Hope Foundation,853783524,Sprngfld Gdns,NY,P20,,https://projects.propublica.org/nonprofits/organizations/853783524,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Cornwall Community Foundation,463121192,New Windsor,NY,T12,,https://projects.propublica.org/nonprofits/organizations/463121192,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Duryee Community Foundation,844110882,Schenectady,NY,S20,,https://projects.propublica.org/nonprofits/organizations/844110882,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Esopus Community Foundation,862568195,Port Ewen,NY,W99,,https://projects.propublica.org/nonprofits/organizations/862568195,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Leaveners Community Foundation,481172029,Essex,NY,P58,,https://projects.propublica.org/nonprofits/organizations/481172029,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
New Community Foundation,464343865,Bronx,NY,S20,,https://projects.propublica.org/nonprofits/organizations/464343865,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Sephardic Community Foundation,861748882,Brooklyn,NY,A23,,https://projects.propublica.org/nonprofits/organizations/861748882,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Andujar Foundation Community,824911984,Buffalo,NY,O50,,https://projects.propublica.org/nonprofits/organizations/824911984,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Community Kollel Foundation,990765557,Far Rockaway,NY,X30,,https://projects.propublica.org/nonprofits/organizations/990765557,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Elevate Community Foundation,844976587,Rochester,NY,Z99,,https://projects.propublica.org/nonprofits/organizations/844976587,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Plmbc Community Foundation,824450245,Buffalo,NY,O50,,https://projects.propublica.org/nonprofits/organizations/824450245,community foundation,2025-10-17 17:56:52,,,,,,,,not_contacted,no,no,,,,high
Nhrg Private Foundation,273949845,Greenlawn,NY,T22,,https://projects.propublica.org/nonprofits/organizations/273949845,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Bitcoin Private Foundation,831305957,New York,NY,U99,,https://projects.propublica.org/nonprofits/organizations/831305957,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Mae Private Foundation,815246407,New York,NY,T50,,https://projects.propublica.org/nonprofits/organizations/815246407,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Allan Patchett Private Foundation,550760574,Amherst,NY,T20,,https://projects.propublica.org/nonprofits/organizations/550760574,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Douglas Cramer Private Foundation,311705313,Woodbury,NY,T22,,https://projects.propublica.org/nonprofits/organizations/311705313,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Private Tutor Foundation Inc,611620448,White Plains,NY,B90,,https://projects.propublica.org/nonprofits/organizations/611620448,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Public Private Alliance Foundation,711016293,Hastings Hdsn,NY,Q01,,https://projects.propublica.org/nonprofits/organizations/711016293,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Rodel Private Charitable Foundation,261512186,Woodbury,NY,T20,,https://projects.propublica.org/nonprofits/organizations/261512186,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Thomas Cramer Private Foundation,311705322,Woodbury,NY,T22,,https://projects.propublica.org/nonprofits/organizations/311705322,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Charna Radbell Private Foundation,226887924,Lawrence,NY,T20,,https://projects.propublica.org/nonprofits/organizations/226887924,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Rafferty Family Private Foundation,276590504,Mamaroneck,NY,T22,,https://projects.propublica.org/nonprofits/organizations/276590504,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
James R Shields Private Foundation,300609473,New York,NY,T20,,https://projects.propublica.org/nonprofits/organizations/300609473,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
A L Borg Private Foundation,112944989,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/112944989,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Robert Keleher Private Foundation Inc,830773547,East Islip,NY,B82,,https://projects.propublica.org/nonprofits/organizations/830773547,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Private Equity Foundation I Inc,432116245,New York,NY,T12,,https://projects.propublica.org/nonprofits/organizations/432116245,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Jerome E Toffler Private Foundation,357012223,New York,NY,T22,,https://projects.propublica.org/nonprofits/organizations/357012223,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Della Calce Private Foundation Inc,204702349,Vly Cottage,NY,T20,,https://projects.propublica.org/nonprofits/organizations/204702349,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Kimberly Cramer Germ Private Foundation,311705318,Woodbury,NY,T22,,https://projects.propublica.org/nonprofits/organizations/311705318,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Elkie Rosen Private Foundation Inc,863568842,Woodbury,NY,T50,,https://projects.propublica.org/nonprofits/organizations/863568842,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Lauren Cramer Fexy Private Foundation,311705315,Woodbury,NY,T22,,https://projects.propublica.org/nonprofits/organizations/311705315,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Prem & Poonam Private Foundation Inc,473888176,East Elmhurst,NY,K30,,https://projects.propublica.org/nonprofits/organizations/473888176,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Lucille A Napoli Private Foundation,993635996,Bronx,NY,D20,,https://projects.propublica.org/nonprofits/organizations/993635996,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Schwartz Family Private Foundation Inc,934627346,Brooklyn,NY,B12,,https://projects.propublica.org/nonprofits/organizations/934627346,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Lakhani Family Private Charitable Foundation,836795215,Fresh Meadows,NY,T22,,https://projects.propublica.org/nonprofits/organizations/836795215,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
Thomas And Jeanne Elmezzi Private Foundation,113343740,Astoria,NY,,,https://projects.propublica.org/nonprofits/organizations/113343740,private foundation,2025-10-17 17:56:54,,,,,,,,not_contacted,no,no,,,,high
The Ralph Lauren Corporate Foundation,522316766,New York,NY,T22,,https://projects.propublica.org/nonprofits/organizations/522316766,corporate foundation,2025-10-17 17:56:55,,,,,,,,not_contacted,no,no,,,,high
North American Jaat Heritage Foundation A Nj Nonprofit Corporat,854194350,Jericho,NY,A23,,https://projects.propublica.org/nonprofits/organizations/854194350,corporate foundation,2025-10-17 17:56:55,,,,,,,,not_contacted,no,no,,,,high
Foundation For Bedford Central Schools A Not For Profit Corporati,461741040,Bedford Hills,NY,B122,,https://projects.propublica.org/nonprofits/organizations/461741040,corporate foundation,2025-10-17 17:56:55,,,,,,,,not_contacted,no,no,,,,high
Artis Contemporary Israeli Art Fund Inc,264184988,New York,NY,A23,,https://projects.propublica.org/nonprofits/organizations/264184988,arts,2025-10-17 17:56:56,,,,,,,,not_contacted,no,no,,,,high
Magnum Cultural Foundation,450573269,New York,NY,A40,,https://projects.propublica.org/nonprofits/organizations/450573269,cultural,2025-10-17 17:56:57,,,,,,,,not_contacted,no,no,,,,high
