sponsor_name,ein,city,state,ntee_code,classification,propublica_url,search_term_found,collected_at,website,email,phone,contact_person,mission_statement,annual_revenue,assets,outreach_status,email_sent,response_received,sponsorship_amount,notes,follow_up_date,priority_level,alignment_score,potential_level,donation_history,template_number,template_type
Beehivefund Corporation,383602558,Spring,TX,T99,,https://projects.propublica.org/nonprofits/organizations/383602558,corporation,2025-10-17 17:59:50,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Medina Healthcare Fund,680561314,Hondo,TX,E112,,https://projects.propublica.org/nonprofits/organizations/680561314,healthcare,2025-10-17 17:59:56,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Bwi Scholarship Fund,822948311,Jacksonville,FL,B82,,https://projects.propublica.org/nonprofits/organizations/822948311,scholarship,2025-10-17 18:00:41,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Tsrhc Scholarship Fund,752106637,Dallas,TX,B82Z,,https://projects.propublica.org/nonprofits/organizations/752106637,scholarship,2025-10-17 17:59:32,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Swapa Scholarship Fund,752831556,Dallas,TX,B84,,https://projects.propublica.org/nonprofits/organizations/752831556,scholarship,2025-10-17 17:59:32,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Philadelphia Cultural Fund Inc,232683335,Philadelphia,PA,A120,,https://projects.propublica.org/nonprofits/organizations/232683335,cultural,2025-10-17 18:01:31,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Fauquier Scholarship Fund,546123242,Orlando,FL,,,https://projects.propublica.org/nonprofits/organizations/546123242,scholarship,2025-10-17 18:00:41,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Her Scholarship Fund,991089598,Orlando,FL,A12,,https://projects.propublica.org/nonprofits/organizations/991089598,scholarship,2025-10-17 18:00:41,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Valencia I Williams Scholarship Fund,462705890,Orlando,FL,P60,,https://projects.propublica.org/nonprofits/organizations/462705890,scholarship,2025-10-17 18:00:41,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Sfbaa Charity Fund,474193717,Ft Lauderdale,FL,B82,,https://projects.propublica.org/nonprofits/organizations/474193717,charity,2025-10-17 18:00:49,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Kazilionis Charitable Fund,842051687,Palm Bch Gdns,FL,T11,,https://projects.propublica.org/nonprofits/organizations/842051687,charitable,2025-10-17 18:00:51,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Global Student Fund,611959171,Hallandle Bch,FL,T20,,https://projects.propublica.org/nonprofits/organizations/611959171,student,2025-10-17 18:00:42,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Public Library Endowment Fund,246017176,Orlando,FL,,,https://projects.propublica.org/nonprofits/organizations/246017176,public,2025-10-17 18:00:47,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Business Funding Foundation,920551093,Orlando,FL,W03,,https://projects.propublica.org/nonprofits/organizations/920551093,business,2025-10-17 18:00:56,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Braman Philanthropic Fund,471887620,Miami,FL,T22,,https://projects.propublica.org/nonprofits/organizations/471887620,philanthropy,2025-10-17 18:00:52,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
Cultural Enrichment Fund,232327546,Harrisburg,PA,,,https://projects.propublica.org/nonprofits/organizations/232327546,cultural,2025-10-17 18:01:31,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
National Guild For Community Arts Education Inc,136161108,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/136161108,arts education,2025-10-17 17:57:03,,,,,,,,not_contacted,no,no,,,,medium,17.058823529411768,Low,unknown,4,No Name + Never Donated
Sacramento Community Education & Arts,873999491,Citrus Hts,CA,A25,,https://projects.propublica.org/nonprofits/organizations/873999491,arts education,2025-10-17 17:58:11,,,,,,,,not_contacted,no,no,,,,medium,17.058823529411768,Low,unknown,2,Has Name + Never Donated
Arts In Motion Community Youth Theatre/Arts Education Inc,593313339,Dade City,FL,A65,,https://projects.propublica.org/nonprofits/organizations/593313339,arts education,2025-10-17 18:00:29,,,,,,,,not_contacted,no,no,,,,medium,17.058823529411768,Low,unknown,4,No Name + Never Donated
Spartsburg Community Foundation,465082667,Spartansburg,PA,B11,,https://projects.propublica.org/nonprofits/organizations/465082667,community foundation,2025-10-17 18:01:26,,,,,,,,not_contacted,no,no,,,,high,17.058823529411768,Low,unknown,4,No Name + Never Donated
Gathering Place For Community Arts And Education,462299634,Clarks Summit,PA,P80,,https://projects.propublica.org/nonprofits/organizations/462299634,arts education,2025-10-17 18:01:37,,,,,,,,not_contacted,no,no,,,,medium,17.058823529411768,Low,unknown,2,Has Name + Never Donated
